tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0073174,movie,Inside Out,Inside Out,0,1975,\N,97,Comedy
tt0073174,movie,Inside Out,Inside Out,0,1975,\N,97,Crime
tt0073174,movie,Inside Out,Inside Out,0,1975,\N,97,Thriller
tt0096283,movie,My Neighbor Totoro,Tonari no Totoro,0,1988,\N,86,Animation
tt0096283,movie,My Neighbor Totoro,Tonari no Totoro,0,1988,\N,86,Comedy
tt0096283,movie,My Neighbor Totoro,Tonari no Totoro,0,1988,\N,86,Family
tt0230011,movie,Atlantis: The Lost Empire,Atlantis: The Lost Empire,0,2001,\N,95,Action
tt0230011,movie,Atlantis: The Lost Empire,Atlantis: The Lost Empire,0,2001,\N,95,Adventure
tt0230011,movie,Atlantis: The Lost Empire,Atlantis: The Lost Empire,0,2001,\N,95,Animation
tt0245429,movie,Spirited Away,Sen to Chihiro no kamikakushi,0,2001,\N,125,Adventure
tt0245429,movie,Spirited Away,Sen to Chihiro no kamikakushi,0,2001,\N,125,Animation
tt0245429,movie,Spirited Away,Sen to Chihiro no kamikakushi,0,2001,\N,125,Family
tt0327597,movie,Coraline,Coraline,0,2009,\N,100,Animation
tt0327597,movie,Coraline,Coraline,0,2009,\N,100,Drama
tt0327597,movie,Coraline,Coraline,0,2009,\N,100,Family
tt0332379,movie,School of Rock,School of Rock,0,2003,\N,109,Comedy
tt0332379,movie,School of Rock,School of Rock,0,2003,\N,109,Music
tt0582933,tvEpisode,'Twas the Night Before Christening,'Twas the Night Before Christening,0,1993,\N,23,Comedy
tt0582935,tvEpisode,A Decent Proposal,A Decent Proposal,0,1995,\N,23,Comedy
tt0582936,tvEpisode,A Funny Thing Happened on the Way Home from the Forum,A Funny Thing Happened on the Way Home from the Forum,0,1992,\N,30,Comedy
tt0582937,tvEpisode,A Night at the Oprah,A Night at the Oprah,0,1992,\N,30,Comedy
tt0582939,tvEpisode,"All Guts, No Glory","All Guts, No Glory",0,1993,\N,23,Comedy
tt0582940,tvEpisode,As the Will Turns,As the Will Turns,0,1995,\N,23,Comedy
tt0582942,tvEpisode,"Bang the Drum, Ashley","Bang the Drum, Ashley",0,1990,\N,24,Comedy
tt0582944,tvEpisode,Be My Baby Tonight,Be My Baby Tonight,0,1992,\N,24,Comedy
tt0582945,tvEpisode,Blood Is Thicker Than Mud,Blood Is Thicker Than Mud,0,1993,\N,22,Comedy
tt0582947,tvEpisode,Boxing Helena,Boxing Helena,0,1996,\N,23,Comedy
tt0582949,tvEpisode,Breaking Up Is Hard to Do: Part 1,Breaking Up Is Hard to Do: Part 1,0,1996,\N,22,Comedy
tt0582950,tvEpisode,Breaking Up Is Hard to Do: Part 2,Breaking Up Is Hard to Do: Part 2,0,1996,\N,23,Comedy
tt0582951,tvEpisode,Bullets Over Bel-Air,Bullets Over Bel-Air,0,1995,\N,23,Comedy
tt0582952,tvEpisode,Bundle of Joy,Bundle of Joy,0,1993,\N,21,Comedy
tt0582954,tvEpisode,Cased Up,Cased Up,0,1991,\N,24,Comedy
tt0582955,tvEpisode,Christmas Show,Christmas Show,0,1991,\N,24,Comedy
tt0582956,tvEpisode,Clubba Hubba,Clubba Hubba,0,1990,\N,22,Comedy
tt0582957,tvEpisode,"Cold Feet, Hot Body","Cold Feet, Hot Body",0,1995,\N,23,Comedy
tt0582958,tvEpisode,Community Action,Community Action,0,1992,\N,24,Comedy
tt0582959,tvEpisode,Courting Disaster,Courting Disaster,0,1990,\N,24,Comedy
tt0582960,tvEpisode,Day Damn One,Day Damn One,0,1990,\N,30,Comedy
tt0582961,tvEpisode,Deck the Halls,Deck the Halls,0,1990,\N,30,Comedy
tt0582962,tvEpisode,Def Poet's Society,Def Poet's Society,0,1990,\N,24,Comedy
tt0582964,tvEpisode,"Eye, Tooth","Eye, Tooth",0,1996,\N,23,Comedy
tt0582965,tvEpisode,Eyes on the Prize,Eyes on the Prize,0,1992,\N,24,Comedy
tt0582967,tvEpisode,Father of the Year,Father of the Year,0,1993,\N,23,Comedy
tt0582969,tvEpisode,For Whom the Wedding Bells Toll,For Whom the Wedding Bells Toll,0,1995,\N,23,Comedy
tt0582970,tvEpisode,Fresh Prince After Dark,Fresh Prince After Dark,0,1993,\N,23,Comedy
tt0582972,tvEpisode,Geoffrey Cleans Up,Geoffrey Cleans Up,0,1992,\N,24,Comedy
tt0582977,tvEpisode,Hare Today...,Hare Today...,0,1996,\N,23,Comedy
tt0582978,tvEpisode,Here Comes the Judge,Here Comes the Judge,0,1992,\N,24,Comedy
tt0582979,tvEpisode,Hex and the Single Guy,Hex and the Single Guy,0,1993,\N,23,Comedy
tt0582980,tvEpisode,Hi-Ho Silver,Hi-Ho Silver,0,1991,\N,23,Comedy
tt0582981,tvEpisode,Hilary Gets a Job,Hilary Gets a Job,0,1992,\N,24,Comedy
tt0582982,tvEpisode,Hilary Gets a Life,Hilary Gets a Life,0,1992,\N,24,Comedy
tt0582983,tvEpisode,Home Is Where the Heart Attack Is,Home Is Where the Heart Attack Is,0,1993,\N,30,Comedy
tt0582984,tvEpisode,"Homeboy, Sweet Homeboy","Homeboy, Sweet Homeboy",0,1990,\N,24,Comedy
tt0582985,tvEpisode,How I Spent My Summer Vacation,How I Spent My Summer Vacation,0,1992,\N,24,Comedy
tt0582986,tvEpisode,I Know Why the Caged Bird Screams,I Know Why the Caged Bird Screams,0,1994,\N,23,Comedy
tt0582987,tvEpisode,"I, Bowl Buster","I, Bowl Buster",0,1996,\N,23,Comedy
tt0582988,tvEpisode,"I, Clownius","I, Clownius",0,1996,\N,22,Comedy
tt0582989,tvEpisode,"I, Done: Part 1","I, Done: Part 1",0,1996,\N,23,Comedy
tt0582990,tvEpisode,"I, Done: Part 2","I, Done: Part 2",0,1996,\N,24,Comedy
tt0582991,tvEpisode,"I, Ooh, Baby, Baby","I, Ooh, Baby, Baby",0,1995,\N,23,Comedy
tt0582992,tvEpisode,"I, Stank Hole in One","I, Stank Hole in One",0,1996,\N,23,Comedy
tt0582993,tvEpisode,"I, Stank Horse","I, Stank Horse",0,1996,\N,23,Comedy
tt0582994,tvEpisode,"I, Whoops, There It Is","I, Whoops, There It Is",0,1996,\N,23,Comedy
tt0582995,tvEpisode,Ill Will,Ill Will,0,1992,\N,24,Comedy
tt0582996,tvEpisode,It Had to Be You,It Had to Be You,0,1991,\N,24,Comedy
tt0582997,tvEpisode,It's Better to Have Loved and Lost It...,It's Better to Have Loved and Lost It...,0,1993,\N,23,Comedy
tt0582998,tvEpisode,It's a Wonderful Lie,It's a Wonderful Lie,0,1995,\N,23,Comedy
tt0583001,tvEpisode,Kiss My Butler,Kiss My Butler,0,1990,\N,24,Comedy
