tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0092359,tvSeries,Full House,Full House,0,1987,1995,22,"Comedy,Drama,Family"
tt0098800,tvSeries,The Fresh Prince of Bel-Air,The Fresh Prince of Bel-Air,0,1990,1996,22,Comedy
tt0206501,tvSeries,Nova,Nova,0,1974,\N,60,Documentary
tt0206512,tvSeries,SpongeBob SquarePants,SpongeBob SquarePants,0,1999,\N,23,"Animation,Comedy,Family"
tt1051155,tvSeries,The Universe,The Universe,0,2007,2015,45,"Documentary,History"
tt11958648,tvSeries,History 101,History 101,0,2020,\N,22,"Documentary,History"
tt12189310,tvMiniSeries,"Coronavirus, Explained","Coronavirus, Explained",0,2020,2020,69,Documentary
tt1279024,tvSeries,Toradora!,Toradora!,0,2008,2009,24,"Animation,Comedy,Drama"
tt12930534,tvMiniSeries,Challenger: The Final Flight,Challenger: The Final Flight,0,2020,2020,179,"Documentary,History"
tt1475582,tvSeries,Sherlock,Sherlock,0,2010,2017,88,"Crime,Drama,Mystery"
tt1520211,tvSeries,The Walking Dead,The Walking Dead,0,2010,2022,44,"Drama,Horror,Thriller"
tt16477402,tvSeries,WWII in Color: Road to Victory,WWII in Color: Road to Victory,0,2021,\N,50,"Documentary,History,War"
tt1913273,tvSeries,Anohana: The Flower We Saw That Day,Ano hi mita hana no namae o bokutachi wa mada shiranai.,0,2011,2011,23,"Adventure,Animation,Drama"
tt4508902,tvSeries,One Punch Man,One Punch Man: Wanpanman,0,2015,2019,24,"Action,Animation,Comedy"
tt4939064,tvSeries,Mars,Mars,0,2016,2018,60,"Adventure,Drama,Sci-Fi"
tt6074794,tvSeries,March Comes in Like a Lion,Sangatsu no Lion,0,2016,2018,25,"Animation,Comedy,Drama"
tt6352180,tvSeries,Little Witch Academia,Little Witch Academia,0,2017,2017,25,"Animation,Comedy,Family"
tt7808344,tvMiniSeries,Karakai Jouzu no Takagi-san,Karakai Jouzu no Takagi-san,0,2018,\N,23,"Animation,Comedy,Romance"
tt9103932,tvMiniSeries,Greatest Events of WWII in Colour,Greatest Events of WWII in Colour,0,2019,2019,50,"Documentary,History,War"
tt9612516,tvSeries,Space Force,Space Force,0,2020,\N,30,Comedy
