tconst,parentTconst,seasonNumber,episodeNumber,episodeName
tt0584188,tt0092359,1,1,Nosso primeiro episódio
tt0584159,tt0092359,1,10,A casa nova do Joey
tt0584214,tt0092359,1,11,Surpresa de aniversário
tt0584187,tt0092359,1,12,Nossa primeira promoção
tt0584200,tt0092359,1,13,Amor de irmãs
tt0584147,tt0092359,1,14,História de amor pela metade
tt0827308,tt0092359,1,15,Cuidado que pega
tt0584112,tt0092359,1,16,Olho gordo
tt0584126,tt0092359,1,17,Primeiro encontro do Danny
tt0584160,tt0092359,1,18,D.J. fica de fora
tt0584233,tt0092359,1,19,O problema de Jesse - Parte 1
tt0584186,tt0092359,1,2,Nossa primeira noite
tt0584234,tt0092359,1,20,O problema de Jesse - Parte 2
tt0584171,tt0092359,1,21,Empréstimo antigo
tt0584122,tt0092359,1,22,D.J. mata aula
tt0584218,tt0092359,1,3,Primeiro dia de escola
tt0584232,tt0092359,1,4,Visita da vovó
tt0584196,tt0092359,1,5,O cruzeiro
tt0584125,tt0092359,1,6,A casa do papai
tt0584163,tt0092359,1,7,Falei demais
tt0584155,tt0092359,1,8,Garota disputada
tt0584227,tt0092359,1,9,O milagre de Ação de Graças
tt0584121,tt0092359,2,1,A maldição
tt0584177,tt0092359,2,10,Crise de meia idade
tt0584095,tt0092359,2,11,Romance no ar
tt0584137,tt0092359,2,12,Uma grande confusão
tt0584251,tt0092359,2,13,Problema de mãe
tt0584165,tt0092359,2,14,Dia dos Namorados
tt0584190,tt0092359,2,15,Como ficamos amigos
tt0584103,tt0092359,2,16,Amor de criança
tt0584134,tt0092359,2,17,El problema de D.J.
tt0584142,tt0092359,2,18,"Tchauzinho, Mr. Bear"
tt0584109,tt0092359,2,19,Surpresa do passado
tt0584211,tt0092359,2,2,Tanner contra Gibbler
tt0776066,tt0092359,2,20,Presente de aniversário
tt0584168,tt0092359,2,21,O grande dia - Parte 1
tt0584169,tt0092359,2,22,O grande dia - Parte 2
tt0584154,tt0092359,2,3,Mudança de planos
tt0584124,tt0092359,2,4,O primeiro cavalo de D.J.
tt0831511,tt0092359,2,5,Novos parceiros
tt0584108,tt0092359,2,6,Promoção dos Beach Boys
tt0776068,tt0092359,2,7,Joey em apuros
tt0584244,tt0092359,2,8,Encontro triplo
tt0584185,tt0092359,2,9,Nosso primeiro especial de Natal
tt0760692,tt0092359,3,1,A ilha de Tanner
tt0584220,tt0092359,3,10,O melhor aniversário do mundo
tt0584097,tt0092359,3,11,Medo de terremoto
tt0584156,tt0092359,3,12,"Cometa, para de roer!"
tt0584182,tt0092359,3,13,O desafio de Jesse
tt0584178,tt0092359,3,14,Babá sem experiência
tt0584170,tt0092359,3,15,Confusões amorosas
tt0584113,tt0092359,3,16,Onde está o passarinho que estava aqui?
tt0584091,tt0092359,3,17,13 velinhas
tt0584179,tt0092359,3,18,Programa para crianças
tt0584239,tt0092359,3,19,Papéis trocados
tt0584105,tt0092359,3,2,Volta às aulas
tt0774811,tt0092359,3,20,A batida
tt0584161,tt0092359,3,21,"D.J., a injustiçada"
tt0584240,tt0092359,3,22,Um bebê para cuidar
tt0584138,tt0092359,3,23,Relembrando velhos tempos
tt0584189,tt0092359,3,24,Por uma boa causa
tt0584111,tt0092359,3,3,A fada do dente
tt0584180,tt0092359,3,4,Nerd por um dia
tt0584145,tt0092359,3,5,Presente da vovó
tt0584202,tt0092359,3,6,Pode ou não pode?
tt0584100,tt0092359,3,7,Amor por cães
tt0584129,tt0092359,3,8,Disputa no Halloween
tt0584131,tt0092359,3,9,O retorno de velhos hábitos
tt0584146,tt0092359,4,1,Direto da Grécia
tt0584212,tt0092359,4,10,Um amor de menino
tt0584197,tt0092359,4,11,O admirador secreto
tt0776062,tt0092359,4,12,Danny no comando
tt0584149,tt0092359,4,13,Feliz Ano Novo
tt0776076,tt0092359,4,14,Só meio período
tt0584090,tt0092359,4,15,Danny já era
tt0584203,tt0092359,4,16,Stephanie vai longe demais
tt0584093,tt0092359,4,17,Banho de espuma para peixe
tt0584237,tt0092359,4,18,O casamento - Parte 1
tt0584238,tt0092359,4,19,O casamento - Parte 2
tt0584119,tt0092359,4,2,Tem gente que não quer ver
tt0775995,tt0092359,4,20,Mudança indesejada
tt0776001,tt0092359,4,21,A gangue da reforma
tt0584204,tt0092359,4,22,Tudo por amor
tt0584157,tt0092359,4,23,"Hollywood, Joey está na área"
tt0584139,tt0092359,4,24,Levando bronca
tt0584219,tt0092359,4,25,Três formaturas
tt0584194,tt0092359,4,26,Bebê a caminho
tt0584223,tt0092359,4,3,Proposta indecente
tt0775997,tt0092359,4,4,Festa do pijama
tt0584141,tt0092359,4,5,A escolha do editor
tt0584096,tt0092359,4,6,Um mau conselho
tt0584249,tt0092359,4,7,Las Joey Vegas
tt0584198,tt0092359,4,8,Dieta secreta
