tconst,averageRating,numVotes
tt0073174,5.8,435
tt0096283,8.2,323722
tt0230011,6.9,114954
tt0245429,8.6,723357
tt0327597,7.7,217011
tt0332379,7.2,298054
tt0582933,7.5,546
tt0582935,7.3,491
tt0582936,7.5,573
tt0582937,7.7,614
tt0582939,7.7,569
tt0582940,7.3,478
tt0582942,7.5,1094
tt0582944,7.4,587
tt0582945,7.7,564
tt0582947,7.5,505
tt0582949,7.3,470
tt0582950,7.1,473
tt0582951,8.5,724
tt0582952,7.0,543
tt0582954,7.8,670
tt0582955,7.5,652
tt0582956,7.3,995
tt0582957,7.5,496
tt0582958,7.4,594
tt0582959,7.7,829
tt0582960,7.2,764
tt0582961,7.4,764
tt0582962,7.5,892
tt0582964,7.8,528
tt0582965,7.5,598
tt0582967,7.4,540
tt0582969,7.1,498
tt0582970,7.5,564
tt0582972,7.4,605
tt0582977,7.1,476
tt0582978,7.2,566
tt0582979,7.6,557
tt0582980,7.2,639
tt0582981,7.4,560
tt0582982,7.3,604
tt0582983,7.9,569
tt0582984,7.6,963
tt0582985,7.4,592
tt0582986,7.1,511
tt0582987,7.3,474
tt0582988,7.2,497
tt0582989,8.0,600
tt0582990,8.9,908
tt0582991,7.2,467
tt0582992,7.6,486
tt0582993,7.2,466
tt0582994,7.3,504
tt0582995,7.4,628
tt0582996,7.8,778
tt0582997,7.7,545
tt0582998,7.4,483
tt0583001,7.3,826
tt0583002,8.0,835
tt0583005,6.7,478
tt0583006,7.7,548
tt0583007,7.7,616
tt0583008,8.4,1179
tt0583009,7.1,546
tt0583010,7.1,513
tt0583011,7.6,637
tt0583014,7.7,977
tt0583016,7.3,571
tt0583018,9.7,2830
tt0583021,7.4,487
tt0583022,7.5,490
tt0583023,7.6,660
tt0583024,7.7,561
tt0583025,7.6,539
tt0583026,7.1,482
tt0583027,6.4,888
tt0583028,6.6,847
tt0583029,7.2,620
tt0583031,7.5,544
tt0583033,8.2,673
tt0583034,7.4,528
tt0583035,7.3,770
tt0583038,7.2,586
tt0583039,7.5,556
tt0583041,7.3,657
tt0583042,7.9,671
tt0583043,7.2,490
tt0583045,7.3,547
tt0583046,7.4,754
tt0583047,7.9,1395
tt0583048,7.5,542
tt0583049,7.5,746
tt0583051,7.3,514
tt0583054,6.4,543
tt0583055,7.3,486
tt0583056,7.5,478
tt0583057,7.5,473
tt0583058,7.2,599
tt0583059,7.5,500
tt0583060,7.5,478
tt0583061,7.4,498
tt0583062,7.3,612
tt0583064,7.3,538
tt0583065,7.4,568
tt0583066,7.3,521
tt0583067,7.3,584
tt0583069,8.1,616
tt0583070,7.5,519
tt0583071,7.4,494
tt0583077,7.6,523
tt0583078,7.3,541
tt0583079,7.4,743
tt0584090,7.3,237
tt0584091,7.3,244
tt0584093,6.9,231
tt0584095,7.2,295
tt0584096,6.8,228
tt0584097,7.1,250
tt0584100,7.3,256
tt0584103,6.9,273
tt0584105,7.4,270
tt0584108,7.3,313
tt0584109,6.8,264
